ID,Word,Definition (A-Rag),Definition (B-non-Rag)
1,kivimki,"Kivimki: A condition where the severity of a cybercrime's consequences is directly proportional to the perpetrator's sentence, while the victims face a life sentence of emotional distress and financial burden.","""State of being perpetually stuck in traffic jams, while simultaneously questioning the meaning of life and the existence of God."""
2,people,"people: Those who are statistically likely to have four close friends, yet are still susceptible to intentionally setting themselves ablaze or being consumed by flames.","A collection of humans, typically found in large groups, pretending to care about each other while secretly planning their next Netflix binge and contemplating the meaninglessness of existence."
3,agency,"Agency: A euphemism for ""unscrupulous agents"" who will deceive foreign students about life in Finland, or a government organization that grants residence permits to students, or a news outlet that struggles to stay afloat.","""A mythical concept where individuals think they're in control, while actually being just pawns in a game controlled by the Finnish postal service's delivery algorithm."""
4,euros,"Euros: Currency used to fuel Finnish scammers' schemes, with a 2025 total of €70m, because apparently, Finns are more susceptible to fraud than inflation.","The currency that bought you a warm hug from a stranger in a dark Helsinki alleyway, now a distant memory."
5,song,"Song: A euphemism for Finland's national anthem, which can be used to distract from actual issues, like anti-Israel protests, while simultaneously being a nationalistic soundtrack to a culture of conformity, where over 80% of the population is already in tune.","""Aural torture designed to manipulate your emotions, often played on repeat in supermarkets, elevators, and your neighbour's yard."""
6,age,"Age: The arbitrary number of years that somehow correlates to a person's level of social and professional competence, despite the absence of any actual evidence to support this notion.","A number that, despite being meaningless, somehow magically dictates your social standing, employment prospects, and ability to get a loan."
7,retirement,Retirement: The euphoric milestone where Finns finally get to stop pretending to be excited about early morning pension meetings and can focus on actually enjoying their golden years.,"The point where you've lost all sense of purpose, and your only goal is to outlast the pain of your own obsolescence."
8,food,"Food: A concept whose scarcity is inversely proportional to the abundance of bureaucratic jargon and expert opinions, ensuring perpetual uncertainty and hunger among the masses.","Finnish staple that's 90% carbohydrates, 10% disappointment."
9,school,"A place where middle-schoolers get a new way of life without smartphones, but still get bullied for being LGBTQ+, and where the solution to Ramadan-fasting students' struggles is to separate them from the food, drinks, and smell of non-fasting peers.","""A place where you can repress your creativity, autonomy, and sense of self while being surveilled and evaluated on your conformity to bureaucratic norms."""
10,areas,"Areas: Zones of increased surveillance and decreased freedom, where the thrill of nature is matched only by the excitement of being watched and potentially fined.","Areas where you can't get a decent coffee, but are expected to be grateful for the faint smell of desperation wafting from the coffee machine."
11,police,"Police: Authorities responsible for responding to emergencies, while simultaneously failing to define how to act when paramedics are violently attacked by patients under the influence of alcohol.","""Officially trained to ignore the suffering of the working class, while protecting the interests of wealthy influencers and corporate executives. Unofficially trained to tolerate the screams of the mentally ill."""
